H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,V,V,V,H,B,B,B,H,B,B,B,B,B,B,B,B,H,V,B,B,H,V,V,V,H,B,B,B,H
H,B,H,V,H,B,B,B,H,H,H,H,H,B,H,H,V,H,V,H,B,H,H,H,V,H,B,H,B,H
H,B,H,V,H,B,V,V,V,E,B,B,B,B,H,V,V,H,B,B,B,B,B,B,B,H,B,H,B,H
H,B,H,H,H,B,H,V,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,E,H,B,H
H,B,V,V,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,V,V,V,H,B,H
H,H,H,H,H,V,H,H,H,H,H,V,H,H,H,H,H,H,B,H,H,H,H,H,V,H,H,H,H,H
H,B,B,B,V,V,H,B,B,V,V,V,H,B,V,P,B,H,B,B,B,H,B,B,B,B,B,V,V,H
H,B,H,H,H,H,H,H,B,H,H,H,V,H,V,H,B,H,B,H,V,H,H,H,H,H,V,H,V,H
H,B,H,B,B,B,B,B,B,H,B,V,V,H,B,H,E,H,B,H,V,H,B,B,V,V,V,H,B,H
H,B,H,V,H,H,H,H,H,H,B,H,H,H,B,H,V,H,B,H,V,H,B,H,H,H,H,H,B,H
H,B,H,V,V,V,E,V,B,B,B,B,B,B,B,H,V,V,V,H,V,V,B,H,B,V,V,H,B,H
H,B,H,H,H,V,H,H,B,H,B,H,V,H,H,H,H,H,H,H,H,H,B,H,H,H,V,H,B,H
H,B,B,B,B,B,H,B,B,H,B,H,V,B,B,B,E,E,E,V,V,H,B,H,B,V,V,V,B,H
H,H,H,H,B,H,H,H,B,H,B,H,V,H,H,B,H,H,H,H,V,E,B,H,B,H,H,H,H,H
H,V,H,B,B,B,H,B,B,H,B,V,V,H,B,B,B,H,V,H,V,H,B,H,B,B,B,H,B,H
H,E,H,B,H,B,B,B,H,H,B,H,H,H,H,B,H,H,V,H,V,H,B,H,B,H,V,H,B,H
H,V,H,B,H,V,V,V,H,V,B,V,H,B,B,B,B,B,B,B,V,H,B,B,B,H,V,V,V,H
H,V,H,B,H,E,V,V,H,V,V,V,H,H,B,B,B,B,B,B,H,H,B,H,H,H,V,E,V,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
