H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,B,B,B,H,V,V,B,B,B,B,B,H,V,V,V,P,H,B,B,B,B,H,V,V,V,H,V,V,H
H,V,H,B,H,H,H,H,H,H,H,B,H,V,H,H,H,H,H,H,H,B,H,H,H,V,H,H,V,H
H,E,H,B,B,B,B,B,B,B,H,B,H,V,B,B,B,B,B,B,H,B,B,B,H,E,V,H,V,H
H,V,H,H,H,H,H,H,H,B,H,V,H,H,H,H,H,H,H,B,H,H,H,V,H,B,H,H,B,H
H,B,B,B,B,B,B,B,H,B,V,E,H,B,B,B,H,V,V,B,B,B,B,V,H,B,B,B,B,H
H,H,H,H,H,H,H,H,H,H,H,V,H,H,H,V,H,H,H,H,H,H,H,B,H,H,H,H,B,H
H,E,V,B,H,B,V,V,B,B,B,B,B,B,B,V,H,B,B,B,B,B,B,B,B,B,V,H,B,H
H,V,H,B,H,B,H,H,H,H,H,H,H,B,H,H,H,V,H,H,H,H,H,H,H,H,V,H,B,H
H,V,H,B,H,B,B,B,B,B,B,B,H,B,B,B,H,V,B,B,B,B,V,V,B,H,V,H,B,H
H,B,H,B,H,H,H,H,H,H,H,B,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,H,B,H
H,B,H,B,B,V,V,B,B,B,H,B,V,V,H,V,V,B,B,B,B,B,B,H,B,B,B,H,V,H
H,B,H,H,H,H,H,H,H,B,H,B,B,B,H,H,H,H,H,H,H,H,V,H,B,H,H,H,V,H
H,B,B,B,V,V,B,B,H,V,V,V,B,B,B,B,H,B,B,B,B,H,V,B,B,B,B,B,V,H
H,H,H,H,H,B,H,B,H,H,H,B,H,H,H,B,H,H,H,H,V,H,H,H,H,H,B,H,H,H
H,B,B,V,V,B,H,V,H,B,B,B,B,B,H,B,B,B,B,V,V,B,B,B,B,B,B,H,V,H
H,H,H,V,H,B,H,V,H,H,B,H,H,H,H,E,H,H,H,H,H,H,H,H,V,H,B,H,V,H
H,B,B,B,H,B,H,H,H,B,B,B,H,V,H,V,H,V,H,B,B,B,B,H,V,V,B,H,B,H
H,B,H,H,H,B,B,B,B,B,H,B,V,V,H,V,V,E,V,B,H,H,H,H,H,H,B,B,B,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
