H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,P,V,V,V,V,V,B,B,H,V,V,V,V,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H
H,H,B,H,H,V,H,H,B,H,V,H,H,B,H,B,H,H,H,H,H,B,H,B,H,H,H,H,B,H
H,B,B,B,H,B,B,H,B,H,V,H,V,V,H,V,E,V,V,V,H,B,H,B,B,B,B,H,B,H
H,B,H,V,H,B,H,H,H,H,B,H,V,H,H,H,H,H,H,V,H,B,H,H,H,H,B,H,V,H
H,H,H,V,H,B,B,B,B,H,B,H,V,V,H,B,B,B,H,V,H,B,B,B,B,H,B,H,V,H
H,B,H,V,H,H,H,H,B,H,B,H,H,H,H,H,H,B,H,V,H,H,H,B,H,H,B,H,V,H
H,B,H,B,B,B,B,H,V,V,V,E,V,V,V,H,B,B,V,V,H,B,B,B,H,B,B,H,B,H
H,B,B,B,V,H,B,B,V,H,B,H,B,H,B,B,B,H,B,B,B,B,H,B,B,B,H,H,B,H
H,H,H,H,H,H,V,B,V,H,B,H,B,H,H,H,V,H,H,H,H,H,H,H,H,B,H,V,B,H
H,V,V,V,E,V,V,B,V,B,B,H,B,V,V,H,V,E,V,V,V,B,H,B,B,B,H,V,H,H
H,H,H,H,H,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,B,H,H,H,H,H,V,H,H
H,B,B,B,V,V,V,B,B,B,H,B,B,B,H,B,V,V,V,B,B,B,H,B,V,V,V,E,V,H
H,B,H,H,H,H,H,H,H,B,H,H,H,B,H,B,H,H,H,H,H,H,H,B,H,H,H,H,V,H
H,B,H,B,V,V,B,B,H,V,V,B,H,B,B,B,H,B,B,B,H,B,B,B,B,B,H,V,V,H
H,B,H,B,H,H,H,B,H,H,H,B,H,H,H,B,H,H,H,B,H,H,H,B,H,H,H,V,H,H
H,B,H,B,B,B,H,B,B,B,B,B,B,B,H,B,B,B,V,V,V,B,H,B,B,B,H,V,B,H
H,B,H,H,H,B,H,V,V,V,V,V,H,B,H,H,H,H,H,H,H,H,H,H,B,H,H,H,B,H
H,B,V,V,B,B,H,V,V,E,V,V,H,B,B,B,B,B,B,B,B,H,B,B,B,H,B,B,B,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
